0, 2260
1, 2
2, 34
3, 15
4, 57
5, 79
6, 46
7, 42
8, 41
9, 54
10, 29
11, 29
12, 36
13, 28
14, 25
15, 20
16, 18
17, 20
18, 15
19, 12
20, 8
21, 11
22, 8
23, 13
24, 19
25, 16
26, 16
27, 13
28, 12
29, 4
30, 14
31, 6
32, 7
33, 6
34, 3
35, 3
36, 3
37, 4
38, 5
39, 7
40, 6
41, 4
42, 1
43, 2
45, 3
46, 5
47, 2
48, 2
49, 5
50, 2
51, 1
52, 1
53, 3
54, 1
55, 1
56, 1
57, 2
58, 1
59, 2
60, 2
61, 1
62, 1
64, 1
65, 2
68, 2
69, 1
70, 2
71, 1
74, 1
75, 1
76, 1
77, 2
78, 1
79, 2
81, 1
84, 1
85, 1
86, 1
89, 1
90, 1
103, 1
105, 1
137, 1
138, 1
141, 1
151, 1
173, 1
178, 1
203, 1
206, 1
263, 1
286, 1
425, 1
977, 1
1932, 1
avg, 2.78478
