0, 20
1, 887
4, 178
5, 168
6, 83
7, 86
8, 98
9, 82
10, 104
11, 110
12, 72
13, 65
14, 63
15, 70
16, 71
17, 39
18, 50
19, 42
20, 66
21, 45
22, 65
23, 30
24, 42
25, 26
26, 32
27, 27
28, 31
29, 24
30, 28
31, 18
32, 27
33, 18
34, 24
35, 15
36, 14
37, 133
38, 26
39, 21
40, 12
41, 15
42, 17
43, 25
44, 10
45, 9
46, 13
47, 12
48, 12
49, 5
50, 13
51, 10
52, 9
53, 7
54, 14
55, 9
56, 15
57, 4
58, 7
59, 9
60, 8
61, 4
62, 5
63, 5
64, 7
65, 9
66, 6
67, 4
68, 3
69, 4
70, 5
71, 7
72, 2
73, 5
74, 6
75, 1
76, 3
77, 6
78, 4
79, 1
80, 5
81, 3
82, 1
83, 4
84, 3
85, 4
86, 8
87, 1
88, 3
89, 4
90, 3
91, 1
92, 3
93, 4
95, 3
96, 3
98, 2
99, 3
100, 5
101, 1
102, 2
103, 2
104, 3
105, 1
106, 3
107, 1
108, 2
109, 1
110, 7
112, 1
113, 3
114, 3
115, 2
116, 2
118, 1
121, 1
122, 1
123, 1
124, 1
127, 2
128, 1
129, 4
132, 1
133, 1
134, 1
135, 1
136, 1
137, 2
138, 1
140, 2
141, 1
142, 2
143, 1
144, 1
145, 2
146, 1
147, 4
148, 4
149, 1
151, 2
153, 2
155, 1
156, 2
159, 1
160, 1
162, 1
163, 1
165, 1
166, 1
167, 1
171, 1
173, 5
182, 1
184, 2
185, 1
186, 2
192, 2
193, 1
194, 2
195, 2
196, 1
197, 1
198, 1
200, 1
202, 1
203, 1
204, 1
211, 1
213, 1
214, 1
215, 1
217, 2
225, 1
229, 1
230, 2
235, 1
236, 1
242, 1
245, 1
247, 1
251, 2
252, 1
253, 1
256, 1
263, 1
272, 2
275, 2
276, 1
277, 1
278, 2
282, 1
287, 1
289, 1
290, 1
294, 2
298, 1
299, 2
300, 1
319, 1
337, 1
338, 1
341, 2
344, 1
346, 1
348, 1
354, 1
359, 1
372, 1
374, 1
376, 1
396, 1
407, 1
409, 1
410, 1
435, 1
439, 1
457, 1
474, 1
476, 1
503, 1
510, 1
566, 1
567, 1
607, 1
632, 1
648, 1
717, 1
1147, 1
avg, 10.3229
